No.,会社名,設立年,代表者名,従業員数,住所,会社URL
176,株式会社オオガプロモーション,2007年, - , - ,福岡県福岡市博多区博多駅中央街5-11 第13泰平ビル10階,http://ohga-pro.com/
177,株式会社アム・トゥーワン,1985年, - ,30-99人,福岡県福岡市博多区冷泉町2番17号　神世第2ビル,http://www.am21.co.jp/
178,株式会社イベントプロデュースガッツ,1993年, - , - ,山形県山形市松波1-7-1新潟県新潟市中央区南笹口1丁目8番52号東京都中野区新井1-15-12,http://www.gutspro.com/
179,山新建装株式会社,1968年, - ,10-29人,山形県山形市富神台28番地,http://www.yamashin-kenso.co.jp/
180,株式会社いまじん,2016年, - ,1-4人,山形県鶴岡市友江字水尻50-13,https://imagine-shonai.jp/
181,株式会社ステージアンサンブル東北,2015年, - , - ,山形県山形市桧町1丁目3-32,http://www.ensemble-tohoku.jp/
182,コーエィ株式会社,1970年, - ,100-499人,群馬県前橋市上小出町1-9-12,https://www.koei-corp.jp/
183,ハンプトンジャパン株式会社,1998年, - ,10-29人,群馬県高崎市あら町206番地 あら町センタービル7Ｆ,http://www.hamptonjapan.com/
184,マルキンアド株式会社,1996年, - ,10-29人,群馬県富岡市下黒岩289,https://www.marukin-ad.co.jp/
185,株式会社マエダスタジオ,1928年, - ,30-99人,群馬県前橋市大友町1丁目13-3,http://www.maedastudio.co.jp/
186,株式会社総合ＰＲ,1981年,五 味　典 雄,30-99人,元総社町936番地4,http://www.s-pr.co.jp/profile.html
187,株式会社エクス・アドメディア,2007年,中村　俊宏,100-499人,埼玉県さいたま市南区内谷4丁目11番26号,http://www.ex-ad.co.jp/
188,株式会社ステップ,1988年, - ,5-9人,千葉県市川市奉免町97-4,http://kk-step.sakura.ne.jp/
189,株式会社aogプランニング, - , - , - ,千葉県香取郡神崎町 古原 791-26,http://www.aog-planning.com/
190,ワンアップ・アド・システム株式会社,1989年, - ,1-4人,千葉県千葉市中央区神明町13-4日栄ビル2階,http://oneupad.jp/
191,有限会社アトラクション,1996年, - , - ,新潟県上越市中田原87‐7,http://www.attraction.jp/
192,株式会社つばさ,1989年, - , - ,新潟県新潟市中央区東出来島9番8号　県庁前センタービル5F,http://www.niigata-tsubasa.com/
193,株式会社ホイミ,2010年, - , - ,新潟県新潟市西蒲区馬堀6302-2,http://hoimi.co.jp/
194,株式会社新潟企画,1966年, - , - ,新潟県新潟市中央区神道寺2丁目3番23号,http://n-kikaku.jp/
195,株式会社リボンマルシェ,2012年, - ,30-99人,長野県長野市栗田16番地 伊藤ビル1Ｆ,https://ribbon-m.co.jp/
196,有限会社プロジェクト長野, - , - , - ,長野県長野市赤沼550-7,http://www.pronagano.co.jp/
197,株式会社長野三光,1983年, - , - ,長野県長野市大字川合新田3446-1,http://naganosanko.com/
198,株式会社CUBE, - , - , - ,長野県下伊那郡高森町上市田373-8,http://cubems.jp/
199,株式会社Dynamics,2007年, - ,5-9人,長野県長野市大字栗田314番地3　K2ビル1F,http://www.dynamics-07.com/
200,株式会社ながのアド・ビューロ,1980年, - ,30-99人,長野県長野市中御所1-53,http://www.adbureau.co.jp/
201,株式会社共立プラニング,1971年, - ,30-99人,長野県長野市鶴賀緑町1618-6,http://www.kyoritz-p.co.jp/
202,AN`s EventFactory合同会社,2015年, - , - ,静岡県磐田市前野1198-1,http://www.ans-ef.com/
203,株式会社静岡パブリック・リレイション,1988年, - ,5-9人,静岡県静岡市葵区伝馬町17-5,http://prii.co.jp/wp/
204,有限会社近藤リース,1945年, - ,10-29人,静岡県静岡市駿河区丸子6365-5,http://www.k-l.co.jp/
205,株式会社エスピーエスたくみ,1987年, - ,30-99人,静岡県静岡市駿河区敷地一丁目9番10号,http://sps-takumi.co.jp/
206,株式会社オレンジボックス,2018年, - , - ,愛知県田原市田原町南乗鞍47-1,https://orangebox-corp.com/
207,株式会社ケイズ・スタジオ,1991年, - , - ,愛知県名古屋市中区丸の内3丁目15番3号TCF丸の内ビル9F,https://ksstudio.jp/
208,株式会社若尾綜合舞台,1959年, - ,30-99人,愛知県名古屋市千種区今池二丁目14番17号,http://www.wakao.co.jp/
